2024-12-24 15:36:17,966 [INFO] Exporting table 'customer' to '/data/output/gen/sf3000/customer/customer_0000000.parquet'...
2024-12-24 15:36:18,192 [INFO] Successfully exported 'customer' to '/data/output/gen/sf3000/customer/customer_0000000.parquet'.
2024-12-24 15:36:18,192 [INFO] Exporting table 'partsupp' to '/data/output/gen/sf3000/partsupp/partsupp_0000000.parquet'...
2024-12-24 15:36:18,442 [INFO] Successfully exported 'partsupp' to '/data/output/gen/sf3000/partsupp/partsupp_0000000.parquet'.
2024-12-24 15:36:18,442 [INFO] Exporting table 'supplier' to '/data/output/gen/sf3000/supplier/supplier_0000000.parquet'...
2024-12-24 15:36:18,467 [INFO] Successfully exported 'supplier' to '/data/output/gen/sf3000/supplier/supplier_0000000.parquet'.
2024-12-24 15:36:18,467 [INFO] Exporting table 'region' to '/data/output/gen/sf3000/region/region_0000000.parquet'...
2024-12-24 15:36:18,468 [INFO] Successfully exported 'region' to '/data/output/gen/sf3000/region/region_0000000.parquet'.
2024-12-24 15:36:18,469 [INFO] Exporting table 'orders' to '/data/output/gen/sf3000/orders/orders_0000000.parquet'...
2024-12-24 15:36:18,867 [INFO] Successfully exported 'orders' to '/data/output/gen/sf3000/orders/orders_0000000.parquet'.
2024-12-24 15:36:18,867 [INFO] Exporting table 'part' to '/data/output/gen/sf3000/part/part_0000000.parquet'...
2024-12-24 15:36:19,118 [INFO] Successfully exported 'part' to '/data/output/gen/sf3000/part/part_0000000.parquet'.
2024-12-24 15:36:19,119 [INFO] Exporting table 'lineitem' to '/data/output/gen/sf3000/lineitem/lineitem_0000000.parquet'...
2024-12-24 15:36:19,970 [INFO] Successfully exported 'lineitem' to '/data/output/gen/sf3000/lineitem/lineitem_0000000.parquet'.
2024-12-24 15:36:19,971 [INFO] Dropped table 'nation' after export.
2024-12-24 15:36:19,972 [INFO] Dropped table 'customer' after export.
2024-12-24 15:36:19,973 [INFO] Dropped table 'partsupp' after export.
2024-12-24 15:36:19,975 [INFO] Dropped table 'supplier' after export.
2024-12-24 15:36:19,976 [INFO] Dropped table 'region' after export.
2024-12-24 15:36:19,979 [INFO] Dropped table 'orders' after export.
2024-12-24 15:36:19,980 [INFO] Dropped table 'part' after export.
2024-12-24 15:36:19,989 [INFO] Dropped table 'lineitem' after export.
2024-12-24 15:36:19,990 [INFO] === Step 1 ===
2024-12-24 15:36:19,990 [INFO] Generating data with dbgen (sf=3000, children=3000, step=1)...
2024-12-24 15:36:32,684 [INFO] Data generation completed.
2024-12-24 15:36:32,697 [INFO] New tables generated at step 1: {'nation', 'customer', 'partsupp', 'supplier', 'region', 'orders', 'part', 'lineitem'}
2024-12-24 15:36:32,697 [INFO] Exporting table 'nation' to '/data/output/gen/sf3000/nation/nation_0000001.parquet'...
2024-12-24 15:36:32,698 [INFO] Successfully exported 'nation' to '/data/output/gen/sf3000/nation/nation_0000001.parquet'.
2024-12-24 15:36:32,699 [INFO] Exporting table 'customer' to '/data/output/gen/sf3000/customer/customer_0000001.parquet'...
